2021-03-19 13:32:30   {'速度': '50KM/H', '电流': '1A', '油门': '1%', '发动机转速': '60r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:29.842416', '电压': '1', 'state': True}
2021-03-19 13:32:41   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:40.871771', '电压': '1', 'state': True}
2021-03-19 13:32:42   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:41.876258', '电压': '1', 'state': True}
2021-03-19 13:32:43   {'速度': '450KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '540%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:32:42.878878', '电压': '1', 'state': True}
2021-03-19 13:32:44   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:32:43.885405', '电压': '1', 'state': True}
2021-03-19 13:32:44   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:32:43.885405', '电压': '1', 'state': True}
2021-03-19 13:32:48   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:47.898060', '电压': '1', 'state': True}
2021-03-19 13:32:49   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:48.900230', '电压': '1', 'state': True}
2021-03-19 13:32:50   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:49.905049', '电压': '1', 'state': True}
2021-03-19 13:32:51   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:50.906487', '电压': '1', 'state': True}
2021-03-19 13:32:52   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:51.911428', '电压': '1', 'state': True}
2021-03-19 13:32:53   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:52.913885', '电压': '1', 'state': True}
2021-03-19 13:32:54   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:53.915408', '电压': '1', 'state': True}
2021-03-19 13:32:55   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:54.916333', '电压': '1', 'state': True}
2021-03-19 13:32:56   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:55.922561', '电压': '1', 'state': True}
2021-03-19 13:32:57   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:56.926690', '电压': '1', 'state': True}
2021-03-19 13:32:58   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:57.929367', '电压': '1', 'state': True}
2021-03-19 13:32:59   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:58.933007', '电压': '1', 'state': True}
2021-03-19 13:33:00   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:32:59.936690', '电压': '1', 'state': True}
2021-03-19 13:33:01   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:00.940982', '电压': '1', 'state': True}
2021-03-19 13:33:02   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:01.947054', '电压': '1', 'state': True}
2021-03-19 13:33:03   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:02.949855', '电压': '1', 'state': True}
2021-03-19 13:33:03   {'速度': '450KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:02.949855', '电压': '1', 'state': True}
2021-03-19 13:33:04   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:03.955039', '电压': '1', 'state': True}
2021-03-19 13:33:05   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:04.958178', '电压': '1', 'state': True}
2021-03-19 13:33:06   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '540%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:05.959616', '电压': '1', 'state': True}
2021-03-19 13:33:07   {'速度': '450KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:06.961037', '电压': '1', 'state': True}
2021-03-19 13:33:08   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:07.967534', '电压': '1', 'state': True}
2021-03-19 13:33:09   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:08.972478', '电压': '1', 'state': True}
2021-03-19 13:33:10   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '540%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:09.977399', '电压': '1', 'state': True}
2021-03-19 13:33:11   {'速度': '450KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:10.979848', '电压': '1', 'state': True}
2021-03-19 13:33:12   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:11.985612', '电压': '1', 'state': True}
2021-03-19 13:33:13   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '600%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:12.989672', '电压': '1', 'state': True}
2021-03-19 13:33:14   {'速度': '500KM/HKM/H', '电流': '1AA', '油门': '1%%', '发动机转速': '540%%', '电池剩余容量': '1%%', '剩余油量': '1%%', '最低电压': '1VV', '最高电压': '1VV', 'CPU温度': '1', '总电流': '1', '时间': '2021-03-19 13:33:13.993544', '电压': '1', 'state': True}
2021-03-19 13:33:26   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:26.038380', '电压': '1', 'state': True}
2021-03-19 13:33:27   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:27.044458', '电压': '1', 'state': True}
2021-03-19 13:33:28   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:28.049816', '电压': '1', 'state': True}
2021-03-19 13:33:29   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:29.055568', '电压': '1', 'state': True}
2021-03-19 13:33:30   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:30.059793', '电压': '1', 'state': True}
2021-03-19 13:33:31   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:31.061250', '电压': '1', 'state': True}
2021-03-19 13:33:32   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:32.063274', '电压': '1', 'state': True}
2021-03-19 13:33:33   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:33.067940', '电压': '1', 'state': True}
2021-03-19 13:33:34   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:34.073665', '电压': '1', 'state': True}
2021-03-19 13:33:35   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:35.076912', '电压': '1', 'state': True}
2021-03-19 13:33:36   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:36.078317', '电压': '1', 'state': True}
2021-03-19 13:33:37   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:37.083593', '电压': '1', 'state': True}
2021-03-19 13:33:38   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:38.088715', '电压': '1', 'state': True}
2021-03-19 13:33:39   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:39.090093', '电压': '1', 'state': True}
2021-03-19 13:33:40   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:40.094076', '电压': '1', 'state': True}
2021-03-19 13:33:41   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:41.100586', '电压': '1', 'state': True}
2021-03-19 13:33:42   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:42.105952', '电压': '1', 'state': True}
2021-03-19 13:33:43   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:43.112560', '电压': '1', 'state': True}
2021-03-19 13:33:44   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:44.119109', '电压': '1', 'state': True}
2021-03-19 13:33:45   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:45.125074', '电压': '1', 'state': True}
2021-03-19 13:33:46   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:46.129480', '电压': '1', 'state': True}
2021-03-19 13:33:47   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:47.136081', '电压': '1', 'state': True}
2021-03-19 13:33:48   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:48.142633', '电压': '1', 'state': True}
2021-03-19 13:33:49   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:49.146363', '电压': '1', 'state': True}
2021-03-19 13:33:50   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:50.152569', '电压': '1', 'state': True}
2021-03-19 13:33:51   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:51.154003', '电压': '1', 'state': True}
2021-03-19 13:33:52   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:52.160720', '电压': '1', 'state': True}
2021-03-19 13:33:53   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:53.166402', '电压': '1', 'state': True}
2021-03-19 13:33:54   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:54.167815', '电压': '1', 'state': True}
2021-03-19 13:33:55   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:55.170424', '电压': '1', 'state': True}
2021-03-19 13:33:56   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:56.175250', '电压': '1', 'state': True}
2021-03-19 13:33:57   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:57.176740', '电压': '1', 'state': True}
2021-03-19 13:33:58   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:58.183233', '电压': '1', 'state': True}
2021-03-19 13:33:59   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:33:59.184621', '电压': '1', 'state': True}
2021-03-19 13:34:00   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:00.187316', '电压': '1', 'state': True}
2021-03-19 13:34:01   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:01.190666', '电压': '1', 'state': True}
2021-03-19 13:34:02   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:02.197178', '电压': '1', 'state': True}
2021-03-19 13:34:03   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:03.198645', '电压': '1', 'state': True}
2021-03-19 13:34:04   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:04.205329', '电压': '1', 'state': True}
2021-03-19 13:34:05   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:05.211877', '电压': '1', 'state': True}
2021-03-19 13:34:06   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:06.216243', '电压': '1', 'state': True}
2021-03-19 13:34:07   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:07.222759', '电压': '1', 'state': True}
2021-03-19 13:34:08   {'速度': '450KM/H', '电流': '1A', '油门': '1%', '发动机转速': '540r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:08.229326', '电压': '1', 'state': True}
2021-03-19 13:34:09   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:09.230715', '电压': '1', 'state': True}
2021-03-19 13:34:10   {'速度': '500KM/H', '电流': '1A', '油门': '1%', '发动机转速': '600r/min', '电池剩余容量': '1%', '剩余油量': '1%', '最低电压': '1V', '最高电压': '1V', 'CPU温度': '1C', '总电流': '1A', '时间': '2021-03-19 13:34:10.236976', '电压': '1', 'state': True}
